id,ra,dec,r_petrosian,r_half_light,r_total_flux,r_half_light_arcsec,r_total_flux_arcsec,r20,r80,c2080,n_estimate,f_half_light,mag_half_light,mag_half_light_err,f_total,mag_total,mag_total_err,surface_brightness,m_u,m_b,m_v,m_f105w,m_f125w,m_f140w,m_f160w,M_u,M_b,M_v,M_f105w,M_f125w,M_f140w,M_f160w,kcorrect_constant_0,kcorrect_constant_1,kcorrect_constant_2,kcorrect_constant_3,kcorrect_constant_4,kcorrect_constant_5
242,3.5825063767794885,-30.40998862122018,10.792358471694339,4.248649729945989,21.584716943388678,0.2549189365363396,1.295082776502854,1.8817763552710542,9.307261452290458,3.471269533359532,1.7683739562737333,90.08808104140829,21.382149528105558,23.8254836982895,180.63615818923785,20.626806148459394,23.44781200846642,19.018231628653925,21.268333435058594,21.156848907470703,21.190168380737305,20.661020278930664,20.500930786132812,20.405664443969727,20.303348541259766,-19.758098602294922,-19.869583129882812,-19.83626365661621,-20.36541175842285,-20.525501251220703,-20.62076759338379,-20.72308349609375,0.30799999833106995,2.2720594472502853e-07,1.346092792786635e-09,1.6544797531992117e-08,3.556661098969016e-08,1.4295564731980903e-08
310,3.585085514091703,-30.40335389112081,16.268653730746152,6.7083416683336665,32.537307461492304,0.4025004254788902,1.9522380857564758,2.9027805561112223,15.201240248049611,3.5953240875878,1.946796093531432,76.46648695179036,21.560140023101113,23.91447894578728,153.0014423744749,20.807079055933983,23.537948462203712,20.14817541603814,21.400089263916016,21.294971466064453,21.339862823486328,20.86104393005371,20.711158752441406,20.619895935058594,20.52117919921875,-19.6263427734375,-19.731460571289062,-19.686569213867188,-20.165388107299805,-20.31527328491211,-20.406536102294922,-20.505252838134766,0.30799999833106995,1.8208406515896058e-07,1.1973758651251387e-09,1.4404077930407766e-08,3.1649758369667325e-08,1.2303485341647047e-08
407,3.5789615814000415,-30.403223301988778,9.214442888577716,3.691738347669534,18.428885777155433,0.22150425979463007,1.1057329416331667,1.6961392278455691,9.214442888577716,3.6750379204986405,2.071476029172546,72.5207496725345,21.61766215621916,23.9432400123463,146.4427017943589,20.8546485364768,23.561733202475125,19.939489965415707,23.078176498413086,22.383207321166992,21.97948455810547,20.786752700805664,20.549631118774414,20.43121337890625,20.309341430664062,-17.94825553894043,-18.643224716186523,-19.046947479248047,-20.23967933654785,-20.4768009185791,-20.595218658447266,-20.717090606689453,0.30799999833106995,2.4696188916095707e-07,3.261486783770473e-12,1.2464711485193902e-09,5.953948889469984e-09,3.078297083902726e-08
259,3.590173758740057,-30.407477083248335,9.910582116423285,4.387877575515104,19.82116423284657,0.26327260572176703,1.1892696334874404,2.1138227645529106,9.632126425285058,3.293268017794566,1.5397981013639148,50.73778440368074,22.005489121697885,24.137153495085663,102.4962505865173,21.242047921563984,23.755432895018714,19.89775686776097,22.130298614501953,21.96635627746582,21.9334716796875,21.223785400390625,21.03551483154297,20.930444717407227,20.819488525390625,-18.896133422851562,-19.060075759887695,-19.092960357666016,-19.80264663696289,-19.990917205810547,-20.09598731994629,-20.20694351196289,0.30799999833106995,1.4672760073608515e-07,5.752890386290233e-10,8.514926541636214e-09,1.8128256229488215e-08,9.546034185348162e-09
52,3.6068045656150995,-30.40560435429249,13.855371074214844,5.872974594918984,27.710742148429688,0.3523784103663259,1.6626442206616594,2.856371274254851,11.813362672534508,3.082794401247615,1.3004294310742173,86.8391274034807,21.422029241402257,23.84542355493785,174.52118029625927,20.664197514768496,23.466507691620972,19.665769475620756,21.213245391845703,21.101350784301758,21.154165267944336,20.77279281616211,20.64548683166504,20.564794540405273,20.476226806640625,-19.813186645507812,-19.925081253051758,-19.87226676940918,-20.253639221191406,-20.380945205688477,-20.461637496948242,-20.55020523071289,0.30799999833106995,1.8209479435427056e-07,1.37749556206046e-09,1.3209035643058087e-08,2.2922781894862965e-08,2.1748421730194423e-08
210,3.57086304229486,-30.382003609593355,14.458691738347671,6.012202440488098,28.917383476695342,0.36073207955175324,1.7350426869353635,2.7635527105421085,12.741548309661933,3.3187722634803025,1.5708672564363793,85.75154858311662,21.43571293925116,23.8522654038623,171.0470234540908,20.686029065896424,23.477423467184934,19.664282493050035,21.12234115600586,21.048986434936523,21.13456153869629,20.77519989013672,20.645410537719727,20.560991287231445,20.468530654907227,-19.904090881347656,-19.977445602416992,-19.891870498657227,-20.251232147216797,-20.38102149963379,-20.46544075012207,-20.55790138244629,0.30799999833106995,1.8869454265768582e-07,1.5932427599452126e-09,1.5636610228852987e-08,3.1241171427609515e-08,1.2126142756585523e-08
66,3.6052830179432553,-30.40293472813961,17.475295059011803,7.218843768753751,34.950590118023605,0.43313054582545735,2.0970350183038837,3.2276455291058213,14.597919583916784,3.2770256696006412,1.520267760133745,85.13362389937988,21.443565067266505,23.856191467869973,170.1704553794759,20.6916074658742,23.48021266717382,20.176132066097356,21.26914405822754,21.163665771484375,21.212234497070312,20.75926971435547,20.61419677734375,20.52517318725586,20.42867088317871,-19.757287979125977,-19.86276626586914,-19.814197540283203,-20.267162322998047,-20.412235260009766,-20.501258850097656,-20.597761154174805,0.30799999833106995,1.977668802055632e-07,1.339249711129753e-09,1.4587986818526133e-08,2.8604810964338867e-08,1.6028831595349402e-08
317,3.584367963965068,-30.402868967114884,24.62232446489298,7.497299459891979,49.24464892978596,0.4498378841963121,2.9546783880077627,2.9491898379675936,21.42008401680336,4.305592205824913,3.421370040932352,73.80792876995399,21.598560323127256,23.93368909580035,148.071123070014,20.842641942530886,23.555729905502165,20.49349804267298,21.54147720336914,21.398845672607422,21.40768051147461,20.910066604614258,20.770978927612305,20.685546875,20.5915470123291,-19.484954833984375,-19.627586364746094,-19.618751525878906,-20.116365432739258,-20.25545310974121,-20.340885162353516,-20.434885025024414,0.30799999833106995,1.5317021961891442e-07,1.0215882584319047e-09,1.8517441802146095e-08,6.535923091632867e-08,1.1323668225315942e-08
326,3.58870800076965,-30.40237055523793,11.581316263252651,5.269653930786157,23.162632526505302,0.3161791772294738,1.3897576939376979,2.345869173834767,13.159231846369273,3.744633751118097,2.1874719841236923,32.37433183456692,22.493315833746703,24.381066851110074,65.09590525705141,21.73493369122337,24.001875779848408,20.68444627079967,22.515331268310547,22.35540771484375,22.347681045532227,21.781707763671875,21.62185287475586,21.528900146484375,21.428974151611328,-18.51110076904297,-18.671024322509766,-18.67875099182129,-19.24472427368164,-19.404579162597656,-19.49753189086914,-19.597457885742188,0.30799999833106995,7.859534889576025e-08,3.9598316292632774e-10,5.333554931041817e-09,1.1223789897485403e-08,8.00911870157961e-09
503,3.5783432190173503,-30.38708691098113,17.75375075015003,6.2906581316263255,35.50750150030006,0.37743941792260804,2.130449695045593,2.5779155831166234,15.247649529905981,3.8596710465144564,2.3950537338309044,80.34167570634126,21.506465654277697,23.88764176137557,160.61427488597718,20.75435751504728,23.51158769176036,19.822102304865556,21.213884353637695,21.10849380493164,21.18008804321289,20.922760009765625,20.82754135131836,20.761043548583984,20.685955047607422,-19.81254768371582,-19.917938232421875,-19.846343994140625,-20.10367202758789,-20.198890686035156,-20.26538848876953,-20.340476989746094,0.30799999833106995,1.3883369831546588e-07,1.371930458127224e-09,1.1828592327844945e-08,2.0322561411489914e-08,2.3157113560046128e-08
99,3.5785879411912545,-30.399111781352783,15.943788757751552,6.847569513902781,31.887577515503104,0.4108540946643176,1.9132542962244812,3.2276455291058213,14.180236047209442,3.2139881363885885,1.4462260706666992,66.4763357935587,21.712150186166845,23.990484027320147,133.0517589065813,20.958766318034833,23.61379209325414,20.32839046821146,21.549606323242188,21.430580139160156,21.472923278808594,21.052093505859375,20.917104721069336,20.833322525024414,20.7418270111084,-19.476825714111328,-19.59585189819336,-19.553508758544922,-19.97433853149414,-20.10932731628418,-20.1931095123291,-20.284605026245117,0.30799999833106995,1.4386536406618688e-07,1.0061187438736852e-09,1.0557848817427384e-08,1.9637719006482257e-08,1.6009995107424402e-08
298,3.587876814133314,-30.404243487796602,19.285257051410284,7.636527305461092,38.57051410282057,0.45819155338173945,2.314230417124996,2.9491898379675936,22.580316063212642,4.420136438965528,3.751517562257847,53.22549889197839,21.953518516353117,24.11116819241328,106.50914916143229,21.200350580030452,23.734584224251947,20.93905861400216,21.96007537841797,21.80445098876953,21.80327606201172,21.253759384155273,21.094533920288086,21.002016067504883,20.90273666381836,-19.066356658935547,-19.221981048583984,-19.223155975341797,-19.772672653198242,-19.93189811706543,-20.024415969848633,-20.123695373535156,0.30799999833106995,1.296977103493191e-07,6.553070863724031e-10,6.9490080356615636e-09,1.1000297561736261e-08,1.4819674376553849e-08
17,3.607340566040518,-30.41140017267566,9.260852170434088,3.9237847569513904,18.521704340868176,0.23542704177034238,1.1113020544234515,2.021004200840168,7.961392278455691,2.9771090351286045,1.1903594689386192,62.101627299059814,21.786060417237206,24.027439142855325,124.17343093078617,21.03374616620144,23.651282017337444,20.057603849054825,22.99474334716797,22.36894989013672,22.07937240600586,21.26642608642578,21.09236717224121,21.003522872924805,20.908899307250977,-18.031688690185547,-18.657482147216797,-18.947059631347656,-19.760005950927734,-19.934064865112305,-20.02290916442871,-20.11753273010254,0.30799999833106995,1.203529791382607e-07,8.547920632381384e-44,7.224818037577613e-29,1.7783612800030863e-29,3.535846104796292e-08
522,3.604405670632254,-30.384954771217828,15.990198039607922,6.7083416683336665,31.980396079215843,0.4025004254788902,1.918823409014766,3.2276455291058213,13.159231846369273,3.0517235281780266,1.2674248788117635,58.17679029445889,21.856943476327235,24.06288067240034,116.54047296719344,21.10262592773353,23.685721898103488,20.447711167380913,21.726058959960938,21.594507217407227,21.627182006835938,21.202701568603516,21.068832397460938,20.98632049560547,20.896160125732422,-19.300373077392578,-19.43192481994629,-19.399250030517578,-19.82373046875,-19.957599639892578,-20.040111541748047,-20.130271911621094,0.30799999833106995,1.239210973835725e-07,8.356232372719319e-10,8.472078150134621e-09,1.4657552505070726e-08,1.6076752373805903e-08
436,3.602201826747179,-30.3969899094347,13.808961792358472,5.4552910582116425,27.617923584716944,0.3273174028100437,1.6570751078713744,2.4386877375475096,11.163632726545309,3.303246728195764,1.5518944812678404,47.3182644934987,22.08124584973327,24.17503185910336,94.91912546009202,21.325433548023746,23.797125708248597,20.17464923201108,21.872955322265625,21.770431518554688,21.826231002807617,21.4094181060791,21.271366119384766,21.185352325439453,21.09173011779785,-19.15347671508789,-19.256000518798828,-19.2002010345459,-19.617013931274414,-19.75506591796875,-19.841079711914062,-19.934701919555664,0.30799999833106995,1.0660366456249903e-07,7.65300878224906e-10,7.519629363628155e-09,1.3325948344800054e-08,9.92047688441744e-09
88,3.5728089809960175,-30.40053305990769,9.307261452290458,3.7381476295259053,18.614522904580916,0.22428881618977253,1.1168711672137364,1.835367073414683,7.682936587317464,3.109021562466767,1.3287270766421093,41.171403646929384,22.23232868460103,24.25057327653724,82.7128608929786,21.474885262046833,23.871851565260137,19.612363876805443,22.139686584472656,22.028953552246094,22.05768585205078,21.490659713745117,21.322111129760742,21.2232608795166,21.11771583557129,-18.88674545288086,-18.997478485107422,-18.968746185302734,-19.5357723236084,-19.704320907592773,-19.803171157836914,-19.908716201782227,0.30799999833106995,1.0954316564948385e-07,6.06411865167189e-10,7.449735939246693e-09,1.5613535353509178e-08,5.986034334881651e-09
216,3.578470183195068,-30.3813167315458,11.070814162832567,4.434286857371474,22.141628325665135,0.2660571621169095,1.3284974532445637,2.1138227645529106,9.35367073414683,3.2295675361612175,1.464272963572649,44.88012790718143,22.13868265352921,24.20375026100133,90.73114506321264,21.374426888770145,23.821622378621793,19.72095537700591,21.848451614379883,21.766708374023438,21.84239387512207,21.457759857177734,21.323989868164062,21.238393783569336,21.14487648010254,-19.177980422973633,-19.259723663330078,-19.184038162231445,-19.56867218017578,-19.702442169189453,-19.78803825378418,-19.881555557250977,0.30799999833106995,1.0124391991439552e-07,8.08897449022794e-10,8.2893345521029e-09,1.680984240692851e-08,6.910620964362124e-09
435,3.6026877789531024,-30.39757752475425,19.51730346069214,7.404480896179236,39.03460692138428,0.44426877140602716,2.342075981076421,3.0884176835367074,15.386877375475095,3.4870723113389275,1.7901360104345525,43.66875769413883,22.168390775678027,24.218604322075738,87.32398559771954,21.41598399512041,23.842400931796927,20.912007293111124,21.92854118347168,21.844406127929688,21.911802291870117,21.47533416748047,21.329811096191406,21.239320755004883,21.14129066467285,-19.097890853881836,-19.182025909423828,-19.1146297454834,-19.551097869873047,-19.69662094116211,-19.787111282348633,-19.885141372680664,0.30799999833106995,1.0399060812460448e-07,7.532244272745459e-10,8.024830577824105e-09,1.6413633119327642e-08,5.997450092110057e-09
480,3.578348023131543,-30.38945869728274,17.568113622724546,7.3116623324664936,35.13622724544909,0.4386996586157422,2.108173243884454,3.4132826565313064,14.690738147629526,3.169356818902243,1.3954117766848908,44.79669299639928,22.14070298227421,24.204760425373827,89.73073654970995,21.386464786854773,23.82764132766411,20.83855237170411,21.892013549804688,21.798343658447266,21.864688873291016,21.479284286499023,21.34744644165039,21.263538360595703,21.171756744384766,-19.134418487548828,-19.22808837890625,-19.1617431640625,-19.547147750854492,-19.678985595703125,-19.762893676757812,-19.85467529296875,0.30799999833106995,9.790203847614976e-08,7.612935282175215e-10,7.563642157037975e-09,1.4236714029891573e-08,8.638754600553966e-09
71,3.5948264810465203,-30.402140007796714,13.948189637927586,6.2906581316263255,27.89637927585517,0.37743941792260804,1.673782446242229,3.042008401680336,12.97359471894379,3.1494995886305457,1.3732152000225737,40.30940919383877,22.255301786371394,24.26205982742242,80.8376616295259,21.49978351272604,23.88430069059974,20.73922609942122,22.161645889282227,22.025617599487305,22.049036026000977,21.58026123046875,21.43732452392578,21.35089111328125,21.256996154785156,-18.86478614807129,-19.00081443786621,-18.97739601135254,-19.446170806884766,-19.589107513427734,-19.675540924072266,-19.76943588256836,0.30799999833106995,9.013542978664191e-08,5.604923192237266e-10,6.311774658485092e-09,1.1974186975294288e-08,1.0314380460840766e-08
87,3.596757605417433,-30.400512562908034,11.48849769953991,4.759151830366074,22.97699539907982,0.28554905688290677,1.3786194683571282,2.2994598919783957,9.817763552710542,3.151933648268483,1.3759226528327484,33.226103821764355,22.46511932402732,24.366968596250384,66.63166701540308,21.709616171618038,23.98921702004574,20.415057375687045,22.44917106628418,22.307281494140625,22.312644958496094,21.74553108215332,21.5821590423584,21.486949920654297,21.38490104675293,-18.577260971069336,-18.71915054321289,-18.713787078857422,-19.280900955200195,-19.444272994995117,-19.53948211669922,-19.641530990600586,0.30799999833106995,8.344233748402985e-08,4.3344799971478665e-10,5.535802483080943e-09,1.1287978551877131e-08,7.125598777690811e-09
239,3.5897208750192227,-30.41022450967593,16.63992798559712,6.42988597719544,33.27985597119424,0.38579308710803545,1.9967909880787549,2.670734146829366,13.948189637927586,3.5894359210434152,1.9379142749849483,34.43093863612723,22.426445712602405,24.347631790537925,68.83204215983197,21.674341231688143,23.971579550080794,20.934350767388604,22.31165313720703,22.173206329345703,22.20124626159668,21.780921936035156,21.649505615234375,21.568466186523438,21.47972869873047,-18.714778900146484,-18.853225708007812,-18.825185775756836,-19.24551010131836,-19.37692642211914,-19.457965850830078,-19.546703338623047,0.30799999833106995,7.160264203776023e-08,4.812407139453967e-10,4.907480644078532e-09,8.496312098316139e-09,1.0087423341076374e-08
388,3.5843493859048654,-30.391771036930436,12.323864772954591,5.640928185637128,24.647729545909183,0.33845562839061355,1.4788634985822566,2.6243248649729947,13.34486897379476,3.5314835936243876,1.8527574688174695,26.77778424324865,22.699381273484565,24.484099570979005,53.73107352790558,21.94325407420842,24.106035971340933,20.90133276225703,22.518695831298828,22.42445182800293,22.476329803466797,21.9822998046875,21.825931549072266,21.731416702270508,21.6297607421875,-18.507736206054688,-18.601980209350586,-18.55010223388672,-19.044132232666016,-19.20050048828125,-19.295015335083008,-19.396671295166016,0.30799999833106995,6.7390438118764e-08,4.338445158680315e-10,4.871870906697495e-09,9.957869195886815e-09,3.752059107853256e-09
440,3.5928690137357884,-30.396356290836057,12.60232046409282,4.898379675935187,25.20464092818564,0.2939027260683341,1.5122781753239665,2.206641328265653,11.024404880976196,3.493117034338758,1.7985310152358789,27.493940128625724,22.670725411962188,24.469771640217814,54.917688970394074,21.91953723572348,24.094177552098465,20.499392683137636,22.407718658447266,22.329002380371094,22.403362274169922,21.983566284179688,21.839601516723633,21.749574661254883,21.65205955505371,-18.61871337890625,-18.697429656982422,-18.623069763183594,-19.042865753173828,-19.186830520629883,-19.276857376098633,-19.374372482299805,0.30799999833106995,6.551178444169636e-08,4.855221780175611e-10,4.678857301598782e-09,8.614659208205921e-09,3.961280192754657e-09
511,3.573668079111182,-30.385653373672362,13.066413282656532,5.780156031206241,26.132826565313064,0.3468092975760409,1.5679693032268156,2.7635527105421085,10.83876775355071,2.967560790461936,1.180711508945956,27.63045302480496,22.665347854466635,24.46708286147004,55.31017763492699,21.91180523532961,24.090311551901525,20.94460555368828,22.549116134643555,22.414779663085938,22.444068908691406,22.008087158203125,21.871612548828125,21.78813362121582,21.697124481201172,-18.47731590270996,-18.611652374267578,-18.58236312866211,-19.01834487915039,-19.15481948852539,-19.238298416137695,-19.329307556152344,0.30799999833106995,5.968603034034459e-08,3.8962169601752805e-10,3.851433838519824e-09,6.389993867372823e-09,7.796422174521922e-09
